Epoch, Latitude, Longitude, Altitude
85, 36.3724433091, 127.3587337954, 92.0571285998
86, 36.3724426527, 127.3587245670, 92.0524271261
87, 36.3724414389, 127.3587150491, 92.0279900972
88, 36.3724405386, 127.3587054146, 91.9994226852
89, 36.3724403605, 127.3586955461, 92.0006823689
90, 36.3724400844, 127.3586866347, 91.9974228982
91, 36.3724397767, 127.3586776613, 91.9914655164
92, 36.3724393947, 127.3586689847, 91.9975430071
93, 36.3724384850, 127.3586601056, 92.0050734673
94, 36.3724379924, 127.3586507864, 92.0011357442
95, 36.3724372090, 127.3586430824, 92.0004651723
96, 36.3724360594, 127.3586354345, 91.9876174713
97, 36.3724339999, 127.3586294393, 91.9769903431
98, 36.3724293212, 127.3586247939, 91.9575242503
99, 36.3724228590, 127.3586226057, 91.9548310796
100, 36.3724161914, 127.3586223482, 91.9503242057
101, 36.3724092889, 127.3586223878, 91.9586094124
102, 36.3724017448, 127.3586223657, 91.9608626841
103, 36.3723943699, 127.3586223895, 91.9566563088
104, 36.3723870616, 127.3586223431, 91.9515951574
105, 36.3723795281, 127.3586225195, 91.9323692033
106, 36.3723716811, 127.3586226137, 91.9303057734
107, 36.3723639548, 127.3586226390, 91.9354933687
108, 36.3723565180, 127.3586223088, 91.9179254798
109, 36.3723488219, 127.3586223838, 91.9050379172
110, 36.3723405615, 127.3586222479, 91.9065313293
111, 36.3723329857, 127.3586223923, 91.8752531437
112, 36.3723272048, 127.3586237104, 91.8661401691
113, 36.3723230203, 127.3586280041, 91.8263333431
114, 36.3723215116, 127.3586347396, 91.8505682601
115, 36.3723213349, 127.3586441162, 91.8451615935
116, 36.3723218609, 127.3586530897, 91.8384458898
117, 36.3723224597, 127.3586623899, 91.8360009324
118, 36.3723229784, 127.3586714120, 91.8361881068
119, 36.3723232984, 127.3586805912, 91.8276183335
120, 36.3723236812, 127.3586883277, 91.8053506957
121, 36.3723237371, 127.3586943179, 91.7971560601
122, 36.3723238751, 127.3587017533, 91.7962078331
123, 36.3723235403, 127.3587118606, 91.7882030038
124, 36.3723232664, 127.3587216178, 91.7896396853
125, 36.3723234536, 127.3587299812, 91.7965361886
126, 36.3723251762, 127.3587379585, 91.7964137914
127, 36.3723283882, 127.3587439960, 91.8060629349
128, 36.3723336140, 127.3587483266, 91.7953862390
129, 36.3723397198, 127.3587507995, 91.7993246596
130, 36.3723466398, 127.3587522450, 91.7915147254
131, 36.3723534768, 127.3587515823, 91.7722890787
132, 36.3723613459, 127.3587507388, 91.7622823985
133, 36.3723686414, 127.3587497799, 91.7372385468
134, 36.3723757005, 127.3587476099, 91.7295492506
135, 36.3723829765, 127.3587460507, 91.7210036824
136, 36.3723900709, 127.3587448859, 91.7191551691
137, 36.3723970466, 127.3587437183, 91.7098265411
138, 36.3724041888, 127.3587429407, 91.7093512015
139, 36.3724113761, 127.3587430401, 91.6933221547
140, 36.3724192402, 127.3587425184, 91.6979174335
141, 36.3724274260, 127.3587421191, 91.6796255615
142, 36.3724344001, 127.3587403718, 91.6634365702
143, 36.3724398302, 127.3587374000, 91.6559159374
144, 36.3724434461, 127.3587313302, 91.6543325363
145, 36.3724445735, 127.3587227588, 91.6552888611
146, 36.3724440849, 127.3587126789, 91.6776006455
147, 36.3724425962, 127.3587029289, 91.6580955079
148, 36.3724408413, 127.3586918490, 91.6597148757
149, 36.3724401792, 127.3586810062, 91.6591694178
150, 36.3724401041, 127.3586715420, 91.6720753619
151, 36.3724400265, 127.3586627789, 91.7029730044
152, 36.3724399118, 127.3586531688, 91.7193365321
153, 36.3724391851, 127.3586440166, 91.7464547837
154, 36.3724386877, 127.3586352664, 91.8606385998
155, 36.3724368591, 127.3586264366, 91.9704860887
156, 36.3724313602, 127.3586202744, 91.5113360323
157, 36.3724270703, 127.3586141142, 91.8002972705
158, 36.3724209116, 127.3586104891, 91.8336049421
159, 36.3724136363, 127.3586089930, 91.7435173765
160, 36.3724067024, 127.3586089077, 91.7857018234
161, 36.3723993494, 127.3586094053, 91.8006718084
162, 36.3723921581, 127.3586094522, 91.8343728073
163, 36.3723854091, 127.3586098159, 91.8442642465
164, 36.3723776416, 127.3586104230, 91.8302511675
165, 36.3723698046
